model_class,config_repr,mean_rho,std_rho,mean_mae
xgboost,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1}",0.156929,0.013240,327.299689
xgboost,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 5}",0.206947,0.016622,349.069108
xgboost,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 10}",0.226052,0.010983,340.460744
xgboost,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1}",0.162912,0.020395,325.945426
xgboost,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 5}",0.206924,0.012718,354.507641
xgboost,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 10}",0.221996,0.013541,345.080626
xgboost,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 1}",0.171164,0.013369,325.834354
xgboost,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 5}",0.203596,0.014316,359.723438
xgboost,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 10}",0.216766,0.013012,350.572419
xgboost,"{'n_estimators': 200, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 1}",0.167622,0.016064,326.007859
xgboost,"{'n_estimators': 200, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 5}",0.212433,0.017705,331.796030
xgboost,"{'n_estimators': 200, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 10}",0.233445,0.014548,326.850276
xgboost,"{'n_estimators': 200, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 1}",0.162223,0.018086,324.664233
xgboost,"{'n_estimators': 200, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 5}",0.212807,0.014538,336.694370
xgboost,"{'n_estimators': 200, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 10}",0.234358,0.011721,330.474169
xgboost,"{'n_estimators': 200, 'learning_rate': 0.02, 'max_depth': 8, 'min_child_weight': 1}",0.162371,0.015338,323.573584
